id;name;address;type
1;Intelligent Cotton Gloves frame deposit;infrastructure microchip;GOVERNMENT
2;Kids;Ergonomic Handcrafted Cotton Bacon Belarussian Ruble;GOVERNMENT
3;overriding Sri Lanka Rupee;SSL United States of America violet;BUSINESS
4;paradigms;Customer ADP;BUSINESS
5;bypassing;navigating overriding cross-platform;GOVERNMENT
6;Sierra Leone intermediate;white 1080p;GOVERNMENT
7;green Compatible;Global capacitor Jamaican Dollar;BUSINESS
8;deposit cross-platform;Canada Yemeni Rial Rustic;GOVERNMENT
9;eyeballs Incredible Rustic;Grocery invoice parse;GOVERNMENT
10;Mouse Nebraska;Grocery Fantastic Wooden Fish;GOVERNMENT
