id;rbr;description
1;out-of-the-box Adaptive users;../fake-data/blob/hipster.txt
2;Quetzal Reactive HTTP;../fake-data/blob/hipster.txt
3;Granite;../fake-data/blob/hipster.txt
4;deliverables Afghanistan Planner;../fake-data/blob/hipster.txt
5;Tasty Seychelles Rupee blue;../fake-data/blob/hipster.txt
6;withdrawal invoice Norwegian Krone;../fake-data/blob/hipster.txt
7;executive;../fake-data/blob/hipster.txt
8;interfaces Concrete;../fake-data/blob/hipster.txt
9;payment;../fake-data/blob/hipster.txt
10;synergies Fish frictionless;../fake-data/blob/hipster.txt
